Date,Open, High,Low,Close, AdjClose ,Volume
"Jan 3, 2025,""243.36"",""244.18"",""241.89"",""243.36"",""242.77"",""40,244,100"""
"Jan 2, 2025,""248.93"",""249.10"",""241.82"",""243.85"",""243.26"",""55,740,700"""
"Dec 31, 2024,""252.44"",""253.28"",""249.43"",""250.42"",""249.82"",""39,480,700"""
"Dec 30, 2024,""252.23"",""253.50"",""250.75"",""252.20"",""251.59"",""35,557,500"""
"Dec 27, 2024,""257.83"",""258.70"",""253.06"",""255.59"",""254.97"",""42,355,300"""
"Dec 26, 2024,""258.19"",""260.10"",""257.63"",""259.02"",""258.40"",""27,237,100"""
"Dec 24, 2024,""255.49"",""258.21"",""255.29"",""258.20"",""257.58"",""23,234,700"""
"Dec 23, 2024,""254.77"",""255.65"",""253.45"",""255.27"",""254.66"",""40,858,800"""
"Dec 20, 2024,""248.04"",""255.00"",""245.69"",""254.49"",""253.88"",""147,495,300"""
"Dec 19, 2024,""247.50"",""252.00"",""247.09"",""249.79"",""249.19"",""60,882,300"""
"Dec 18, 2024,""252.16"",""254.28"",""247.74"",""248.05"",""247.45"",""56,774,100"""
"Dec 17, 2024,""250.08"",""253.83"",""249.78"",""253.48"",""252.87"",""51,356,400"""
"Dec 16, 2024,""247.99"",""251.38"",""247.65"",""251.04"",""250.44"",""51,694,800"""
"Dec 13, 2024,""247.82"",""249.29"",""246.24"",""248.13"",""247.53"",""33,155,300"""
"Dec 12, 2024,""246.89"",""248.74"",""245.68"",""247.96"",""247.36"",""32,777,500"""
"Dec 11, 2024,""247.96"",""250.80"",""246.26"",""246.49"",""245.90"",""45,205,800"""
"Dec 10, 2024,""246.89"",""248.21"",""245.34"",""247.77"",""247.17"",""36,914,800"""
"Dec 9, 2024,""241.83"",""247.24"",""241.75"",""246.75"",""246.16"",""44,649,200"""
"Dec 6, 2024,""242.91"",""244.63"",""242.08"",""242.84"",""242.26"",""36,870,600"""
"Dec 5, 2024,""243.99"",""244.54"",""242.13"",""243.04"",""242.46"",""40,033,900"""
"Dec 4, 2024,""242.87"",""244.11"",""241.25"",""243.01"",""242.43"",""44,383,900"""
"Dec 3, 2024,""239.81"",""242.76"",""238.90"",""242.65"",""242.07"",""38,861,000"""
"Dec 2, 2024,""237.27"",""240.79"",""237.16"",""239.59"",""239.01"",""48,137,100"""
"Nov 29, 2024,""234.81"",""237.81"",""233.97"",""237.33"",""236.76"",""28,481,400"""
"Nov 27, 2024,""234.47"",""235.69"",""233.81"",""234.93"",""234.36"",""33,498,400"""
"Nov 26, 2024,""233.33"",""235.57"",""233.33"",""235.06"",""234.49"",""45,986,200"""
"Nov 25, 2024,""231.46"",""233.25"",""229.74"",""232.87"",""232.31"",""90,152,800"""
"Nov 22, 2024,""228.06"",""230.72"",""228.06"",""229.87"",""229.32"",""38,168,300"""
"Nov 21, 2024,""228.88"",""230.16"",""225.71"",""228.52"",""227.97"",""42,108,300"""
"Nov 20, 2024,""228.06"",""229.93"",""225.89"",""229.00"",""228.45"",""35,169,600"""
"Nov 19, 2024,""226.98"",""230.16"",""226.66"",""228.28"",""227.73"",""36,211,800"""
"Nov 18, 2024,""225.25"",""229.74"",""225.17"",""228.02"",""227.47"",""44,686,000"""
"Nov 15, 2024,""226.40"",""226.92"",""224.27"",""225.00"",""224.46"",""47,923,700"""
"Nov 14, 2024,""225.02"",""228.87"",""225.00"",""228.22"",""227.67"",""44,923,900"""
"Nov 13, 2024,""224.01"",""226.65"",""222.76"",""225.12"",""224.58"",""48,566,200"""
"Nov 12, 2024,""224.55"",""225.59"",""223.36"",""224.23"",""223.69"",""40,398,300"""
"Nov 11, 2024,""225.00"",""225.70"",""221.50"",""224.23"",""223.69"",""42,005,600"""
"Nov 8, 2024,""0.25"","""","""","""","""","""""
